Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,Total_B_cells_-_%_of_CD45+,B1a_cells_-_%_of_B_cells,Total_B2_cells_-_%_of_B_cells,Follicular_B_cells_-_%_of_B2_cells,Germinal_centre_B_cells_-_%_of_B2_cells,Plasma_cells_-_%_of_B2_cells,Memory_B_cells_-_%_of_B2_cells,B2_marginal_zone_+_precursor_cells_-_%_of_B2_cells,B2_t1_+_t2_cells_-_%_of_B2_cells,B2_t3_+_f1_+_f2_+_gc_cells_-_%_of_B2_cells,B1a_cells_-_%_of_CD45+,Total_B2_cells_-_%_of_CD45+,Follicular_B_cells_-_%_of_CD45+,Germinal_centre_B_cells_-_%_of_CD45+,Early_germinal_centre_B_cells_-_%_of_CD45+,Late_germinal_centre_B_cells_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,Memory_B_cells_-_%_of_CD45+,Total_T_cells_-_%_of_CD45+,Total_ab_T_cells_-_%_of_total_T_cells,Total_CD4+_T_cells_-_%_of_ab_T_cells,CD4+_T_helper_cells_-_%_of_CD4+,Effector_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Resting_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,KLRG1+_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Total_Treg_cells_-_%_of_CD4+,Effector_Treg_cells_-_%_of_Treg,Resting_Treg_cells_-_%_of_Treg,KLRG1+_Treg_cells_-_%_of_Treg,Total_CD8+_T_cells_-_%_of_ab_T_cells,Effector_CD8+_T_cells_-_%_of_CD8+,Resting_CD8+_T_cells_-_%_of_CD8+,Naive_CD8+_T_cells_-_%_of_CD8+,KLRG1+_CD8+_T_cells_-_%_of_CD8+,Total_gd_T_cells_-_%_of_total_T_cells,CD5+_gd_T_cells_-_%_of_gd_T_cells,Effector_gd_T_cells_-_%_of_gd_T_cells,Resting_gd_T_cells_-_%_of_gd_T_cells,KLRG1+_gd_T_cells_-_%_of_gd_T_cells,Total_NKT_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_NKT_cells,Effector_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Resting_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,KLRG1+_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Total_CD4+_NKT_cells_-_%_of_NKT_cells,Effector_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Resting_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,KLRG1+_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Total_NK_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_NK_cells,Resting_NK_cells_-_%_of_NK_cells,KLRG1+_NK_cells_-_%_of_NK_cells,Total_myeloid_cells_-_%_of_CD45+,Macrophages_-_%_of_myeloid_cells,Granulocytes_+_monocytes_-_%_of_myeloid_cells,Granulocytes_-_%_of_myeloid_cells,Monocytes_-_%_of_myeloid_cells,Eosinophils_-_%_of_myeloid_cells,Total_DC_-_%_of_myeloid_cells,Plasmacytoid_DC_-_%_of_DC,Conventional_DC_(cDC)_-_%_of_DC,Conventional_CD11b_type_DC_-_%_of_cDC,Conventional_CD8a_type_DC_-_%_of_cDC,CD103+_CD8a_type_DC_-_%_of_CD8_type_cDC,Total_ab_T_cells_-_%_of_CD45+,Total_CD4+_T_cells_-_%_of_CD45+,CD4+_T_helper_cells_-_%_of_CD45+,Effector_CD4+_T_helper_cells_-_%_of_CD45+,Resting_CD4+_T_helper_cells_-_%_of_CD45+,KLRG1+_CD4+_T_helper_cells_-_%_of_CD45+,Total_Treg_cells_-_%_of_CD45+,Effector_Treg_cells_-_%_of_CD45+,Resting_Treg_cells_-_%_of_CD45+,KLRG1+_Treg_cells_-_%_of_CD45+,Total_CD8+_T_cells_-_%_of_CD45+,Effector_CD8+_T_cells_-_%_of_CD45+,Resting_CD8+_T_cells_-_%_of_CD45+,Naive_CD8+_T_cells_-_%_of_CD45+,KLRG1+_CD8+_T_cells_-_%_of_CD45+,Total_gd_T_cells_-_%_of_CD45+,CD5+_gd_T_cells_-_%_of_CD45+,Effector_gd_T_cells_-_%_of_CD45+,Resting_gd_T_cells_-_%_of_CD45+,KLRG1+_gd_T_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_CD45+,Effector_CD4-_NKT_cells_-_%_of_CD45+,Resting_CD4-_NKT_cells_-_%_of_CD45+,KLRG1+_CD4-_NKT_cells_-_%_of_CD45+,Total_CD4+_NKT_cells_-_%_of_CD45+,Effector_CD4+_NKT_cells_-_%_of_CD45+,Resting_CD4+_NKT_cells_-_%_of_CD45+,KLRG1+_CD4+_NKT_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_CD45+,Resting_NK_cells_-_%_of_CD45+,KLRG1+_NK_cells_-_%_of_CD45+,Macrophages_-_%_of_CD45+,Granulocytes_+_monocytes_-_%_of_CD45+,Granulocytes_-_%_of_CD45+,Monocytes_-_%_of_CD45+,Eosinophils_-_%_of_CD45+,Total_DC_-_%_of_CD45+,Plasmacytoid_DC_-_%_of_CD45+,Conventional_DC_-_%_of_CD45+,Conventional_CD11b_type_DC_-_%_of_CD45+,Conventional_CD8a_type_DC_-_%_of_CD45+,CD103+_CD8a_type_DC_-_%_of_CD45+
Pycr2,MGQS,M02209790,Pycr2:Hom,Hom,Female,2015-12-02,16,27.971,3.429,96.571,91.426,2.562,0.434,0.272,2.014,4.334,93.988,0.959,27.012,24.696,0.692,0.535,0.157,0.117,0.073,61.931,97.964,58.553,86.121,15.167,84.785,0.329,13.941,58.626,40.123,3.904,40.713,2.304,11.554,85.544,0.111,2.036,80.254,15.596,81.126,0.053,0.277,58.293,15.67,84.536,0.825,41.707,65.994,33.718,6.628,0.393,43.936,56.149,16.031,1.631,0.145,5.728,2.733,2.995,7.677,39.168,17.892,82.108,34.177,65.28,75.9,60.67,35.524,30.594,4.64,25.939,0.101,4.952,2.903,1.987,0.193,24.701,0.569,2.854,21.13,0.027,1.261,1.012,0.197,1.023,0.001,0.162,0.025,0.137,0.001,0.116,0.076,0.039,0.008,0.173,0.221,0.063,0.002,0.093,0.045,0.049,0.125,0.639,0.114,0.525,0.179,0.342,0.26
Sik3,MGLW,M02210020,Sik3:Hom,Hom,Female,2015-12-02,15.9,45.591,1.868,98.132,96.015,0.788,0.413,0.086,1.315,1.995,96.804,0.852,44.739,42.956,0.353,0.343,0.01,0.185,0.039,46.25,97.578,53.729,85.2,20.222,79.799,0.595,15.08,62.525,37.438,11.668,45.736,2.422,11.896,84.905,0.415,2.422,54.835,22.761,74.918,1.607,0.122,70.411,31.128,69.261,3.502,29.589,43.519,57.407,16.667,1.131,63.406,36.712,8.397,2.69,0.037,5.787,2.813,2.974,7.088,39.331,15.186,84.814,37.927,61.85,82.042,45.13,24.248,20.659,4.178,16.486,0.123,3.657,2.286,1.369,0.427,20.641,0.5,2.455,17.525,0.086,1.12,0.614,0.255,0.839,0.018,0.086,0.027,0.059,0.003,0.036,0.016,0.021,0.006,0.717,0.415,0.095,0.001,0.156,0.076,0.08,0.191,1.058,0.161,0.897,0.34,0.555,0.455
Leo1,MGXR,M02210361,Leo1:Het,Het,Female,2015-11-25,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.08,98.51,56.917,90.132,15.205,84.458,0.198,8.52,72.486,25.48,2.429,41.724,3.349,14.348,79.395,0.164,1.49,82.609,13.406,79.71,1.268,1.193,25.27,7.317,93.293,0.61,74.73,11.134,88.454,2.887,0.535,31.615,68.385,16.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.065,38.171,34.405,5.231,29.058,0.068,3.252,2.357,0.829,0.079,27.983,0.937,4.015,22.217,0.046,1.014,0.838,0.136,0.808,0.013,0.301,0.022,0.281,0.002,0.891,0.099,0.788,0.026,0.169,0.366,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pdia4,MUEW,M02210406,WT,WT,Female,2015-11-25,15.9,37.41,3.613,96.387,96.542,1.443,0.127,0.176,0.749,1.321,97.984,1.352,36.058,34.811,0.52,0.381,0.139,0.046,0.064,56.275,98.136,57.383,89.015,25.048,74.667,0.535,11.136,76.448,21.639,4.075,41.753,8.677,11.606,69.978,0.4,1.864,83.717,22.658,66.447,0.06,0.256,49.755,31.034,68.719,0.493,50.245,48.78,50,7.805,0.395,56.484,43.755,20.207,1.811,0.07,7.93,1.163,6.767,5.14,41,18.094,81.906,36.842,62.95,82.948,55.226,31.69,28.209,7.066,21.063,0.151,3.529,2.698,0.764,0.144,23.058,2.001,2.676,16.136,0.092,1.049,0.878,0.238,0.697,0.001,0.127,0.04,0.088,0.001,0.129,0.063,0.064,0.01,0.223,0.173,0.08,0.001,0.144,0.021,0.123,0.093,0.743,0.134,0.608,0.224,0.383,0.318
Pdia4,MUEW,M02210409,WT,WT,Female,2015-11-25,15.9,31.17,3.908,96.092,91.79,3.81,0.379,0.373,2.47,2.051,95.599,1.218,29.952,27.492,1.141,0.681,0.46,0.114,0.112,57.312,97.977,59.74,86.475,16.671,83.28,0.41,13.658,67.656,31.426,4.078,39.502,2.073,14.501,83.06,0.082,2.023,79.61,14.785,82.507,0.108,0.376,45.903,12.933,86.885,1.275,54.097,40.649,58.887,8.346,0.379,41.722,58.444,14.901,2.165,0.019,7.389,2.651,4.738,7.389,41.324,17.561,82.439,45.53,54.194,79.022,56.153,33.546,29.008,4.836,24.158,0.119,4.582,3.1,1.44,0.187,22.182,0.46,3.217,18.424,0.018,1.16,0.923,0.171,0.957,0.001,0.172,0.022,0.15,0.002,0.203,0.083,0.12,0.017,0.158,0.222,0.057,0,0.16,0.057,0.103,0.16,0.895,0.157,0.738,0.336,0.4,0.316
Pdia4,MUEW,M02210411,WT,WT,Female,2015-11-25,15.9,26.976,3.981,96.019,93.049,2.63,0.399,0.242,2.014,2.486,95.68,1.074,25.902,24.101,0.681,0.483,0.198,0.103,0.063,63.435,98.239,57.512,88.515,15.868,84.075,0.29,11.015,65.16,33.737,3.387,41.771,1.98,12.831,84.804,0.068,1.761,75.892,13.866,82.619,0.082,0.355,50.303,12.199,87.457,1.375,49.697,39.826,59.13,4.522,0.397,34.184,65.893,15.468,1.476,0.068,4.268,0.836,3.433,5.962,43.88,21.462,78.538,43.25,56.488,77.03,62.319,35.841,31.724,5.034,26.672,0.092,3.948,2.572,1.332,0.134,26.031,0.516,3.34,22.075,0.018,1.117,0.848,0.155,0.923,0.001,0.178,0.022,0.156,0.002,0.176,0.07,0.104,0.008,0.136,0.261,0.061,0.001,0.063,0.012,0.051,0.088,0.648,0.139,0.509,0.22,0.287,0.221
Fam71b,MGYH,M02210462,Fam71b:Hom,Hom,Male,2015-12-02,16,47.076,2.47,97.53,93.571,2.99,0.271,0.567,0.995,2.683,96.562,1.163,45.913,42.961,1.373,0.856,0.517,0.124,0.26,47.386,97.769,55.911,85.675,17.185,82.688,0.276,14.41,48.946,49.375,2.956,43.321,2.252,13.046,84.402,0.209,2.231,55.787,11.857,85.273,0.063,0.241,57.4,9.88,90.12,0.723,42.6,63.961,36.039,4.545,0.455,33.7,66.154,10.696,1.646,0.061,5.53,1.134,4.395,4.355,61.009,19.754,80.246,31.485,68.225,80.594,46.329,25.903,22.192,3.814,18.35,0.061,3.733,1.827,1.843,0.11,20.07,0.452,2.618,16.94,0.042,1.057,0.59,0.125,0.901,0.001,0.138,0.014,0.125,0.001,0.103,0.066,0.037,0.005,0.153,0.301,0.049,0.001,0.091,0.019,0.072,0.072,1.004,0.198,0.806,0.254,0.55,0.443
Ube2d1,MGVL,M02210530,Ube2d1:Hom,Hom,Male,2015-12-07,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.755,98.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klhl30,MGYM,M02210835,Klhl30:Hom,Hom,Male,2015-11-23,15.6,19.193,7.825,92.175,73.758,11.398,0.743,0.688,9.848,4.057,85.156,1.502,17.691,13.049,2.016,1.739,0.277,0.131,0.122,50.959,98.439,54.422,85.611,14.927,84.971,0.382,11.695,55.214,43.651,3.992,45.019,2.518,16.077,81.237,0.19,1.561,68.157,11.387,85.88,0.124,0.246,69.519,7.692,92.5,1.731,30.481,45.175,54.825,25,0.423,46.61,53.39,13.64,2.171,0.024,5.331,0.636,4.696,4.524,43.923,24.22,75.78,47.979,51.653,72.688,50.164,27.3,23.372,3.489,19.86,0.089,3.193,1.763,1.394,0.127,22.583,0.569,3.631,18.346,0.043,0.795,0.542,0.091,0.683,0.001,0.171,0.013,0.158,0.003,0.075,0.034,0.041,0.019,0.197,0.226,0.058,0.001,0.116,0.014,0.102,0.098,0.954,0.231,0.723,0.347,0.373,0.271
Klhl30,MGYM,M02210837,Klhl30:Hom,Hom,Male,2015-11-23,15.6,18.471,8.996,91.004,80.885,7.837,0.62,0.918,7.598,2.936,88.722,1.662,16.809,13.596,1.317,0.957,0.36,0.104,0.154,47.571,98.293,54.676,86.595,19.516,80.2,0.607,12.551,60.396,37.612,4.302,44.883,3.468,17.096,77.801,0.19,1.707,73.336,19.602,75.568,0.244,0.34,69.797,15.395,84.605,0.832,30.203,54.808,44.231,13.782,0.425,45.849,54.461,11.482,1.7,0.043,9.174,0.851,8.323,6.535,39.953,20.458,79.542,56.33,43.336,74.343,46.759,25.566,22.139,4.321,17.755,0.134,3.209,1.938,1.207,0.138,20.987,0.728,3.588,16.328,0.04,0.812,0.595,0.159,0.613,0.002,0.238,0.037,0.201,0.002,0.103,0.056,0.045,0.014,0.195,0.231,0.049,0.001,0.156,0.014,0.141,0.111,0.679,0.139,0.54,0.304,0.234,0.174
Klhl30,MGYM,M02211534,Klhl30:Hom,Hom,Female,2015-11-30,15.9,27.072,3.433,96.567,90.868,5.632,0.195,0.329,2.281,1.244,96.5,0.929,26.143,23.756,1.472,1.099,0.373,0.051,0.086,60.877,98.293,57.128,77.944,15.623,84.332,0.335,20.38,47.493,51.708,2.9,42.148,2.08,14.295,83.284,0.081,1.707,76.363,12.957,85.055,0.545,0.298,58.324,8.812,91.188,1.149,41.676,63.539,35.925,9.651,0.338,33.564,66.535,16.19,1.65,0.081,14.376,9.205,5.17,6.63,35.787,24.533,75.467,41.817,57.733,73.212,59.838,34.184,26.644,4.163,22.47,0.089,6.967,3.309,3.602,0.202,25.221,0.525,3.605,21.005,0.02,1.039,0.794,0.135,0.884,0.006,0.174,0.015,0.159,0.002,0.124,0.079,0.045,0.012,0.113,0.225,0.055,0.001,0.237,0.152,0.085,0.109,0.591,0.145,0.446,0.186,0.257,0.188
Klhl30,MGYM,M02211536,Klhl30:Hom,Hom,Female,2015-11-30,15.9,29.914,2.444,97.556,91.416,5.174,0.164,0.353,1.912,1.576,96.591,0.731,29.183,26.678,1.51,1.205,0.305,0.048,0.103,58.441,97.903,55.304,84.924,15.689,84.224,0.325,15.372,56.469,42.407,3.879,44.061,2.143,12.402,84.874,0.13,2.097,74.565,11.099,87.269,0.109,0.478,32.729,11.301,88.699,1.066,67.271,33.299,66.079,6.224,0.434,44.812,55.419,14.527,1.539,0.092,6.279,1.754,4.524,8.102,37.396,26.975,73.025,39.307,59.848,71.186,57.216,31.643,26.872,4.216,22.633,0.087,4.864,2.747,2.063,0.189,25.21,0.54,3.127,21.397,0.033,1.225,0.914,0.136,1.069,0.001,0.156,0.018,0.139,0.002,0.321,0.107,0.212,0.02,0.194,0.24,0.063,0.001,0.097,0.027,0.07,0.125,0.576,0.155,0.42,0.165,0.252,0.179
Ncf2,MFDL,M02212594,Ncf2:Hom,Hom,Male,2015-11-25,15.6,33.224,4.352,95.648,95.236,1.534,0.218,0.162,1.727,1.57,96.77,1.446,31.779,30.265,0.488,0.381,0.107,0.069,0.052,56.608,98.555,55.931,88.246,22.222,77.39,0.401,11.956,67.505,30.117,4.408,43.012,7.225,13.365,68.83,0.205,1.445,80.412,24.416,67.313,1.029,0.233,57.975,33.732,66.029,0.478,42.025,46.865,53.465,6.271,0.43,63.15,37.302,8.742,2.069,0.115,12.914,2.525,10.388,5.204,38.072,30.201,69.799,38.445,61.555,69.591,55.79,31.204,27.536,6.119,21.31,0.11,3.731,2.518,1.124,0.164,23.997,1.734,3.207,16.517,0.049,0.818,0.658,0.2,0.551,0.008,0.135,0.046,0.089,0.001,0.098,0.046,0.052,0.006,0.271,0.16,0.038,0.002,0.267,0.052,0.215,0.108,0.788,0.238,0.55,0.211,0.338,0.235
Mau2,MUEG,M02212915,WT,WT,Male,2015-11-30,16.1,32.387,3.012,96.988,89.801,4.179,0.421,0.27,4.263,1.803,93.98,0.975,31.411,28.208,1.313,0.948,0.364,0.132,0.085,50.199,98.182,55.561,67.916,16.297,83.582,0.255,30.992,34.328,65.13,1.65,43.666,2.531,13.171,83.784,0.173,1.818,62.673,14.28,82.98,0.11,0.323,55.155,7.664,91.963,0.561,44.845,44.138,54.713,17.241,0.555,42.042,58.078,10.27,1.804,0.137,24.553,18.11,6.443,7.837,27.617,13.585,86.415,33.992,65.597,69.134,49.286,27.384,18.598,3.031,15.545,0.047,8.487,2.913,5.527,0.14,21.521,0.545,2.835,18.031,0.037,0.913,0.572,0.13,0.757,0.001,0.178,0.014,0.164,0.001,0.145,0.064,0.079,0.025,0.233,0.322,0.057,0.002,0.443,0.327,0.116,0.141,0.498,0.068,0.43,0.146,0.282,0.195
Mau2,MUEG,M02212917,WT,WT,Male,2015-11-30,16.1,30.474,3.495,96.505,90.89,2.76,0.248,0.23,3.567,2.924,93.65,1.065,29.409,26.73,0.812,0.677,0.135,0.073,0.068,51.563,98.194,55.633,75.683,15.337,84.514,0.347,24.817,41.681,57.374,2.422,43.476,3.056,16.394,80.193,0.501,1.806,66.142,15.247,81.782,0.072,0.365,58.995,8.824,90.712,0.774,41.005,39.644,59.688,18.486,0.686,42.781,57.511,11.23,2.187,0.128,17.013,12.436,4.577,6.765,30.598,18.594,81.406,39.971,59.736,70.343,50.632,28.168,21.318,3.27,18.017,0.074,6.99,2.914,4.011,0.169,22.013,0.673,3.609,17.653,0.11,0.931,0.616,0.142,0.762,0.001,0.215,0.019,0.195,0.002,0.15,0.059,0.089,0.028,0.293,0.394,0.077,0.003,0.372,0.272,0.1,0.148,0.669,0.124,0.545,0.218,0.325,0.229
Mau2,MUEG,M02212919,WT,WT,Female,2015-11-30,16.1,31.237,2.704,97.296,91.411,4.454,0.238,0.291,2.006,2.333,95.865,0.845,30.392,27.782,1.354,1.105,0.249,0.072,0.088,54.192,97.717,55.469,85.136,19.029,80.88,0.367,15.151,59.239,39.735,3.932,43.858,2.863,12.056,84.486,0.254,2.283,74.623,14.278,83.702,0.162,0.232,45.259,16.825,82.54,0.317,54.741,66.667,33.333,12.073,0.356,49.953,50.141,13.871,1.755,0.069,8.169,3.304,4.865,9.913,31.345,26.428,73.572,39.502,59.403,68.174,52.954,29.373,25.007,4.759,20.226,0.092,4.45,2.636,1.768,0.175,23.225,0.665,2.8,19.622,0.059,1.237,0.923,0.177,1.036,0.002,0.105,0.018,0.087,0,0.127,0.085,0.042,0.015,0.178,0.178,0.049,0.001,0.143,0.058,0.085,0.174,0.55,0.145,0.405,0.16,0.24,0.164
Mau2,MUEG,M02212938,WT,WT,Female,2015-11-30,16.1,33.591,2.452,97.548,93.703,3.349,0.22,0.373,1.422,1.625,97.052,0.824,32.767,30.704,1.097,0.837,0.26,0.072,0.122,56.606,97.67,56.758,87.069,18.473,81.354,0.275,13.099,59.087,39.778,3.698,42.536,3.199,11.929,84.153,0.183,2.33,74.425,13.065,84.256,0.051,0.319,56.381,11.688,88.126,1.299,43.619,68.106,31.175,8.633,0.439,44.605,55.547,16.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.542,55.287,31.379,27.322,5.047,22.227,0.075,4.11,2.429,1.635,0.152,23.517,0.752,2.805,19.79,0.043,1.319,0.982,0.172,1.111,0.001,0.18,0.021,0.158,0.002,0.139,0.095,0.043,0.012,0.196,0.244,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duoxa2,MUHN,M02213827,Duoxa2(b):Hom,Hom,Female,2015-11-30,15.7,19.014,5.786,94.214,90.939,3.532,0.141,0.443,3.105,2.556,94.47,1.1,17.914,16.291,0.633,0.407,0.226,0.025,0.079,68.869,98.568,59.676,87.665,12.566,86.953,0.142,12.91,42.479,55.182,1.938,39.37,3.077,7.946,85.94,0.077,1.432,79.648,15.754,79.547,0.135,0.397,25.419,23.102,76.898,0,74.581,41.282,57.705,8.324,0.605,33.205,67.07,8.645,1.38,0.033,7.43,2.075,5.355,8.635,32.028,42.842,57.158,41.133,58.501,74.063,67.883,40.51,35.513,4.463,30.879,0.05,5.23,2.222,2.886,0.101,26.725,0.822,2.124,22.968,0.021,0.986,0.785,0.155,0.784,0.001,0.101,0.023,0.078,0,0.296,0.122,0.171,0.025,0.201,0.406,0.052,0,0.103,0.029,0.074,0.119,0.442,0.189,0.253,0.104,0.148,0.109
Duoxa2,MUHN,M02213828,Duoxa2(b):Hom,Hom,Female,2015-11-30,15.7,23.358,5.302,94.698,86.139,7.208,0.245,0.637,3.413,3.364,93.347,1.239,22.12,19.054,1.594,1.066,0.528,0.054,0.141,63.692,98.397,59.479,86.652,16.079,83.625,0.193,14.251,45.09,52.977,3.15,39.874,3.261,8.7,86.389,0.418,1.603,76.388,11.888,83.605,0.098,0.287,35.233,29.043,70.957,0.33,64.767,54.578,45.422,10.592,0.494,25.456,74.814,9.521,1.682,0.061,8.537,4.1,4.437,12.301,32.069,41.031,58.969,37.702,61.65,72.178,62.671,37.276,32.301,5.194,27.011,0.062,5.312,2.395,2.814,0.167,24.99,0.815,2.174,21.588,0.104,1.021,0.78,0.121,0.853,0.001,0.101,0.029,0.072,0,0.186,0.101,0.084,0.02,0.126,0.369,0.047,0.001,0.144,0.069,0.075,0.207,0.539,0.221,0.318,0.12,0.196,0.142
Dhps,MGXS,M02214166,Dhps:Het,Het,Female,2015-11-30,15.3,32.481,2.561,97.439,93.151,3.614,0.251,0.279,1.759,1.577,96.765,0.832,31.649,29.482,1.144,0.871,0.272,0.079,0.088,56.785,98.009,57.282,75.219,13.431,86.45,0.211,21.837,38.42,60.943,1.944,42.064,2.522,11.697,85.178,0.151,1.991,71.698,10.377,87.529,0.088,0.258,59.948,9.267,90.517,1.293,40.052,61.29,37.097,10.323,0.394,36.348,63.821,14.032,1.544,0,18.871,13.138,5.734,7.223,35.711,13.338,86.662,41.211,58.425,77.278,55.654,31.88,23.98,3.221,20.73,0.051,6.962,2.675,4.243,0.135,23.411,0.59,2.738,19.941,0.035,1.131,0.811,0.117,0.99,0.001,0.155,0.014,0.14,0.002,0.103,0.063,0.038,0.011,0.143,0.252,0.055,0,0.291,0.203,0.089,0.112,0.551,0.074,0.478,0.197,0.279,0.216
Wdr89,MGYQ,M02214307,Wdr89:Hom,Hom,Male,2015-11-25,15.6,32.178,2.643,97.357,91.771,4.015,0.455,0.31,1.592,2.926,95.785,0.85,31.328,28.75,1.258,0.858,0.4,0.143,0.097,46.75,96.861,45.752,1.788,40.018,59.894,2.385,6.621,32.403,67.263,1.527,53.09,2.343,14.825,82.623,0.227,3.139,62.823,10.259,86.53,0.335,0.792,20.38,9.128,90.467,1.014,79.62,22.638,76.636,5.815,0.91,37.132,62.365,6.219,2.059,0.049,6.41,1.813,4.597,5.617,47.944,17.218,82.782,33.687,66.191,77.511,45.283,20.718,0.37,0.148,0.222,0.009,1.372,0.444,0.923,0.021,24.04,0.563,3.564,19.863,0.055,1.468,0.922,0.151,1.27,0.005,0.161,0.015,0.146,0.002,0.63,0.143,0.483,0.037,0.338,0.568,0.057,0.001,0.132,0.037,0.095,0.116,0.987,0.17,0.817,0.275,0.541,0.419
Wdr89,MGYQ,M02214308,Wdr89:Hom,Hom,Male,2015-11-25,15.6,39.591,2.277,97.723,92.492,4.208,0.515,0.519,1.251,2.286,96.699,0.901,38.69,35.785,1.628,0.97,0.658,0.199,0.201,53.83,98.527,53.007,86.845,18.005,81.912,0.225,12.781,55.246,43.107,2.518,46.243,2.848,15.018,81.755,0.158,1.473,73.839,11.714,84.555,0.13,0.401,67.753,8.608,91.139,1.139,32.247,34.043,65.16,5.585,0.597,39.954,60.046,8.002,1.578,0.021,5.472,1.268,4.205,4.521,58.356,11.622,88.378,36.501,63.007,81.795,53.037,28.113,24.415,4.396,19.999,0.055,3.593,1.985,1.549,0.09,24.526,0.699,3.683,20.051,0.039,0.793,0.585,0.093,0.67,0.001,0.272,0.023,0.248,0.003,0.129,0.044,0.084,0.007,0.239,0.359,0.048,0,0.086,0.02,0.066,0.071,0.921,0.107,0.814,0.297,0.513,0.419
Nhlrc2,MGRQ,M02214536,Nhlrc2:Het,Het,Female,2015-12-02,16,36.021,2.534,97.466,92.261,2.751,0.465,0.416,2.04,3.197,95.012,0.913,35.108,32.391,0.966,0.627,0.339,0.163,0.146,53.447,97.918,58.145,85.44,21.601,78.131,0.35,14.666,65.17,33.403,3.996,41.279,3.623,15.228,79.482,0.093,2.082,69.392,18.029,77.718,0.15,0.189,59.155,16.964,82.738,2.083,40.845,75.431,21.983,4.31,0.397,46.555,53.697,12.521,2.114,0.047,5.866,1.514,4.352,11.463,47.446,19.143,80.857,38.594,61.118,81.775,52.334,30.43,25.999,5.616,20.313,0.091,4.463,2.908,1.491,0.178,21.603,0.783,3.29,17.171,0.02,1.113,0.772,0.201,0.865,0.002,0.112,0.019,0.093,0.002,0.077,0.058,0.017,0.003,0.185,0.213,0.05,0.001,0.124,0.032,0.092,0.242,1.003,0.192,0.811,0.313,0.496,0.405
Rab21,PMCE,M02214703,Rab21(b):Het,Het,Male,2015-12-07,16,38.59,1.238,98.762,95.234,2.169,0.22,0.336,1.08,1.635,97.403,0.478,38.112,36.296,0.827,0.49,0.337,0.084,0.128,44.252,97.39,55.875,83.698,15.043,84.894,0.316,16.663,44.076,54.991,2.975,43.376,2.565,14.836,82.439,0.365,2.61,46.41,13.485,84.457,0.175,0.323,55.956,7.843,92.157,0.56,44.044,35.231,62.989,10.676,0.629,33.039,66.801,13.344,2.285,0.025,11.494,6.791,4.703,4.93,44.467,20.079,79.921,37.297,61.996,74.772,43.097,24.08,20.155,3.032,17.11,0.064,4.013,1.769,2.207,0.119,18.694,0.479,2.773,15.411,0.068,1.155,0.536,0.156,0.976,0.002,0.181,0.014,0.166,0.001,0.142,0.05,0.09,0.015,0.208,0.42,0.084,0.001,0.263,0.155,0.107,0.113,1.016,0.204,0.812,0.303,0.503,0.376
